Tue, 04 Aug 2020 17:33:07 GMT | INFO | loggers.log | Socket QTfY_h0JBPskDSr0AAAu disconnected | 
Tue, 04 Aug 2020 17:33:07 GMT | INFO | loggers.log | Socket 9-YrHmr9bo1k8LwbAAAt disconnected | 
Tue, 04 Aug 2020 17:33:09 GMT | INFO | loggers.log | Socket JqbK1FV_9I5IV13aAAAv connected | 
Tue, 04 Aug 2020 17:33:09 GMT | INFO | loggers.log | Socket tVsOA6-OA5A-se1QAAAw connected | 
Tue, 04 Aug 2020 17:33:09 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:34:10 GMT | INFO | loggers.log | Socket tVsOA6-OA5A-se1QAAAw disconnected | 
Tue, 04 Aug 2020 17:34:10 GMT | INFO | loggers.log | Socket JqbK1FV_9I5IV13aAAAv disconnected | 
Tue, 04 Aug 2020 17:34:12 GMT | INFO | loggers.log | Socket gQ341IXYQru4BnsrAAAx connected | 
Tue, 04 Aug 2020 17:34:12 GMT | INFO | loggers.log | Socket s-Cygdhak9d7i1qTAAAy connected | 
Tue, 04 Aug 2020 17:34:13 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:34:41 GMT | INFO | loggers.log | Socket s-Cygdhak9d7i1qTAAAy disconnected | 
Tue, 04 Aug 2020 17:34:41 GMT | INFO | loggers.log | Socket gQ341IXYQru4BnsrAAAx disconnected | 
Tue, 04 Aug 2020 17:34:43 GMT | INFO | loggers.log | Socket BdKWyDbkNc0q9QCpAAAz connected | 
Tue, 04 Aug 2020 17:34:44 GMT | INFO | loggers.log | Socket QnfKcyoi-44F72g1AAA0 connected | 
Tue, 04 Aug 2020 17:34:44 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:35:29 GMT | INFO | loggers.log | Socket BdKWyDbkNc0q9QCpAAAz disconnected | 
Tue, 04 Aug 2020 17:35:29 GMT | INFO | loggers.log | Socket QnfKcyoi-44F72g1AAA0 disconnected | 
Tue, 04 Aug 2020 17:35:32 GMT | INFO | loggers.log | Socket iocEKydbA94R6mBOAAA1 connected | 
Tue, 04 Aug 2020 17:35:32 GMT | INFO | loggers.log | Socket dKgkjStgrRDGF3csAAA2 connected | 
Tue, 04 Aug 2020 17:35:33 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:38:24 GMT | INFO | loggers.log | Socket iocEKydbA94R6mBOAAA1 disconnected | 
Tue, 04 Aug 2020 17:38:24 GMT | INFO | loggers.log | Socket dKgkjStgrRDGF3csAAA2 disconnected | 
Tue, 04 Aug 2020 17:38:48 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 04 Aug 2020 17:38:49 GMT | INFO | loggers.log | Socket DJXUHWONoZtkiCU2AAAA connected | 
Tue, 04 Aug 2020 17:38:49 GMT | INFO | loggers.log | Socket ETZH6N8f1h4DYSG0AAAB connected | 
Tue, 04 Aug 2020 17:38:49 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 04 Aug 2020 17:38:49 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:39:39 GMT | INFO | loggers.log | Socket DJXUHWONoZtkiCU2AAAA disconnected | 
Tue, 04 Aug 2020 17:39:39 GMT | INFO | loggers.log | Socket ETZH6N8f1h4DYSG0AAAB disconnected | 
Tue, 04 Aug 2020 17:39:42 GMT | INFO | loggers.log | Socket K8qBDi6egH6L24VnAAAC connected | 
Tue, 04 Aug 2020 17:39:42 GMT | INFO | loggers.log | Socket u6oZNBU3vqUFs_5iAAAD connected | 
Tue, 04 Aug 2020 17:39:43 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:40:47 GMT | INFO | loggers.log | Socket u6oZNBU3vqUFs_5iAAAD disconnected | 
Tue, 04 Aug 2020 17:40:47 GMT | INFO | loggers.log | Socket K8qBDi6egH6L24VnAAAC disconnected | 
Tue, 04 Aug 2020 17:40:49 GMT | INFO | loggers.log | Socket REgghF9APS0x1UtPAAAE connected | 
Tue, 04 Aug 2020 17:40:49 GMT | INFO | loggers.log | Socket SW1wvSpmgf7E40WJAAAF connected | 
Tue, 04 Aug 2020 17:40:50 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:42:11 GMT | INFO | loggers.log | Socket REgghF9APS0x1UtPAAAE disconnected | 
Tue, 04 Aug 2020 17:42:11 GMT | INFO | loggers.log | Socket SW1wvSpmgf7E40WJAAAF disconnected | 
Tue, 04 Aug 2020 17:42:12 GMT | INFO | loggers.log | Socket wU69my3HXYxmJ8W3AAAG connected | 
Tue, 04 Aug 2020 17:42:13 GMT | INFO | loggers.log | Socket uFBKPqhonbxcjOzKAAAH connected | 
Tue, 04 Aug 2020 17:42:13 GMT | INFO | loggers.log | Socket rzs_2pLkfDv9nVtXAAAI connected | 
Tue, 04 Aug 2020 17:42:15 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:42:42 GMT | INFO | loggers.log | Socket wU69my3HXYxmJ8W3AAAG disconnected | 
Tue, 04 Aug 2020 17:44:53 GMT | INFO | loggers.log | Socket uFBKPqhonbxcjOzKAAAH disconnected | 
Tue, 04 Aug 2020 17:44:53 GMT | INFO | loggers.log | Socket rzs_2pLkfDv9nVtXAAAI disconnected | 
Tue, 04 Aug 2020 17:44:56 GMT | INFO | loggers.log | Socket r8oe8eQkmI3NmcPzAAAJ connected | 
Tue, 04 Aug 2020 17:44:56 GMT | INFO | loggers.log | Socket QJTgypPLJGguft5RAAAK connected | 
Tue, 04 Aug 2020 17:44:57 GMT | INFO | loggers.log | rooms successfully created | 
Tue, 04 Aug 2020 17:46:08 GMT | INFO | loggers.log | Socket r8oe8eQkmI3NmcPzAAAJ disconnected | 
Tue, 04 Aug 2020 17:46:08 GMT | INFO | loggers.log | Socket QJTgypPLJGguft5RAAAK disconnected | 
Tue, 04 Aug 2020 17:46:10 GMT | INFO | loggers.log | Socket Rx0c4778JKoj8OvmAAAL connected | 
